,代碼,公司名稱
0,8905,裕國
1,8906,花王
2,8908,欣雄
3,8913,華夏租賃
4,8916,光隆
5,8917,欣泰
6,8921,沈氏印刷
7,8923,時報出版
8,8924,大田
9,8925,偉盟
10,8926,台汽電
11,8927,北基
12,8928,鉅明
13,8929,富堡
14,8930,青鋼
15,8931,大園汽電
16,8932,宏大
17,8933,愛地雅
18,8934,喬工
19,8935,邦泰
20,8936,國統
21,8937,合騏
22,8938,明安
23,8940,新天地
24,8941,關中
25,8942,森鉅
26,4702,中美實
27,4703,金美克能
28,4706,大恭
29,4707,磐亞
30,4711,永純
31,4712,南璋
32,4714,永捷
33,4716,大立
34,4717,天泰
35,4720,德淵
36,4721,美琪瑪
37,4303,信立
38,4304,琨詰
39,4305,世坤
40,4306,炎洲
41,5102,富強
42,5501,金腦科
43,5505,和旺
44,5506,長鴻
45,5508,永信建設
46,5511,德昌
47,5512,力麒
48,5514,三豐
49,5515,建國工程
50,5516,雙喜
51,5519,隆大
52,5520,力泰
53,5521,工信工程
54,5522,大都市
55,5523,宏都
56,5524,全友建設
57,5525,順天
58,5528,廣大
59,5529,訊嘉
60,5530,大漢
61,5531,鄉林
62,5532,竟誠建築
63,5533,皇鼎建設
64,5534,長虹
65,6401,助群
66,6402,基泰營
67,4801,景泰
68,4102,永日
69,4103,百略
70,4104,東貿
71,4105,東洋
72,4106,雃博
73,4107,邦拓
74,4108,懷特
75,4109,加捷
76,4110,博登
77,4111,濟生
78,4113,榮睿
79,4114,健喬
80,8705,東隆
81,8707,中精機
82,8708,大鋼
83,8710,易欣
84,8712,國產車
85,8718,工礦
86,8719,宏福
87,8720,元富
88,8721,尚鋒
89,8722,尚德
90,8723,順大裕
91,8724,立大
92,8725,三采
93,4401,東隆興
94,4402,福大
95,4404,百成行
96,4406,新昕
97,4408,聯明
98,4413,赤崁
99,4414,如興
100,4415,勤龍
101,4416,福纖實業
102,4417,金洲
103,4419,松懋化學
104,4420,光明
105,6502,國隆
106,5701,劍湖山
107,5702,統合
108,5703,亞都麗緻
109,5704,知本老爺
110,5706,鳳凰
111,6001,建華證券
112,6002,台育證券
113,6003,大華證券
114,6004,元大京華
115,6005,群益證券
116,6007,富邦證券
117,6008,中信證券
118,6009,永昌證券
119,6010,台証證券
120,6012,金鼎證券
121,6013,京華證券
122,6014,日盛證券
123,6015,吉祥證券
124,6016,康和證券
125,6017,亞洲證券
126,6020,大展證券
127,6021,大慶證
128,5901,中友
129,5902,德記
130,5903,全家便利
131,5904,寶雅
132,5905,南仁湖
133,5301,祥裕電子
134,5302,太欣
135,5304,大霸
136,5305,敦南
137,5306,訊康
138,5307,耀文
139,5309,系統
140,5310,天剛
141,5312,寶島光學
142,5314,世紀
143,5315,光聯
144,5317,凱美
145,5318,佳鼎
146,5321,九德
147,5324,華昕
148,5325,大騰
149,5326,漢磊
150,5328,華容
151,5336,華特
152,5340,建榮
153,5344,立衛
154,5345,天揚
155,5346,力晶
156,5347,世界先進
157,5348,系通
158,5349,先豐
159,5351,鈺創
160,5353,台林
161,5355,佳總
162,5356,協益
163,5364,梅捷
164,5371,中強光電
165,5372,十美
166,5375,慧智
167,5376,東正元
168,5381,合正
169,5383,金利
170,5384,捷元
171,5385,瑩寶
172,5386,青雲國際
173,5387,茂德
174,5388,中磊
175,5392,怡安
176,5395,普揚
177,5398,力瑋
178,5401,第三波
179,5403,中菲
180,5410,國眾
181,5414,磐英
182,5425,台半
183,5426,振發
184,5432,達威
185,5434,崇越
186,5436,立生
187,5438,東友
188,5439,高技企業
189,5442,世峰
190,5443,均豪
191,5450,寶聯
192,5452,佶優
193,5455,訊利電
194,5457,宣得
195,5460,同協電子
196,5464,霖宏科技
197,5465,富驊
198,5466,泰林
199,5467,聯瞻
200,5468,台晶
201,5469,瀚宇博德
202,5471,松翰科技
203,5473,矽成
204,5474,聰泰
205,5475,德宏
206,5478,智冠
207,5480,統盟
208,5481,華韡電子
209,5483,中美晶
210,5484,慧友電
211,5487,通泰
212,5488,松普科技
213,5489,彩富
214,5490,同亨
215,5491,連展
216,5492,亞智科
217,5493,三聯科技
218,5494,德鑫
219,5497,佰鈺科技
220,5498,凱崴
221,6101,弘捷
222,6103,合邦
223,6104,創惟科技
224,6105,瑞傳科技
225,6107,華美
226,6108,競國
227,6109,亞元
228,6110,艾群科技
229,6111,大宇資
230,6112,聚碩
231,6113,亞矽
232,6114,翔昇
233,6115,鎰勝
234,6116,彩晶
235,6117,迎廣科技
236,6118,建達國際
237,6119,大傳
238,6120,輔祥
239,6121,新普科技
240,6122,擎邦國際
241,6123,上奇
242,6124,業強
243,6125,廣運
244,6126,信音
245,6127,九豪
246,6129,普誠
247,6130,亞全
248,6131,悠克
249,6132,銳普
250,6133,金橋
251,6134,萬旭
252,6135,佳營
253,6136,富爾特
254,6137,新寶科
255,6138,茂達
256,6139,亞翔
257,6140,訊達
258,6141,柏承
259,6142,友勁
260,6143,振曜
261,6144,得利影
262,6145,勁永
263,6146,耕興
264,6147,頎邦
265,6148,和平
266,6149,陸德
267,6150,撼訊
268,6151,晉倫
269,6152,百一
270,6153,嘉聯益
271,6154,順發
272,6155,鈞寶
273,6156,科橋
274,6157,一等
275,6158,禾昌
276,6159,詮鼎
277,6160,欣技
278,6161,捷波
279,6162,鴻源科
280,6163,華電網
281,6164,華興
282,6165,捷泰
283,6166,凌華
284,6167,久正
285,6168,宏齊
286,6169,昱泉
287,6170,統振
288,6171,亞銳士
289,6172,互億
290,6173,信昌電
291,6174,安碁
292,6175,立敦
293,6176,瑞儀光電
294,6177,十全
295,6178,振遠
296,6179,世仰
297,6180,橘子
298,6181,宇詮
299,6182,合晶
300,6183,關貿
301,6184,大豐電
302,6185,幃翔
303,6186,晶磊
304,6187,萬潤
305,6188,廣明
306,6189,豐藝
307,6190,萬泰科技
308,6191,信元
309,6192,巨路
310,6193,洪氏英
311,6194,育富
312,6195,旭展
313,6196,帆宣
314,6197,佳必琪
315,6198,凌泰科技
316,6199,精威
317,6201,亞弘電
318,6202,盛群
319,6203,海韻電
320,6204,艾華
321,6205,詮欣
322,6206,飛捷
323,6207,雷科
324,6208,日揚
325,6209,今國光
326,6210,慶生
327,6211,福登
328,6212,理銘
329,6213,聯茂
330,6214,精誠
331,6215,和椿
332,6216,居易
333,6217,中探針
334,6218,豪勉
335,6219,視達
336,6220,岳豐
337,6221,晉泰
338,6222,上揚
339,6223,旺矽
340,6224,聚鼎
341,6225,天瀚
342,6226,光鼎
343,6227,茂綸
344,6228,全譜
345,6229,研通
346,6230,超眾
347,6231,系微
348,6232,仕欽
349,6233,旺玖
350,6234,高僑
351,6235,華孚
352,6236,凌越
353,6237,驊訊
354,6238,巨圖
355,6239,力成
356,6240,文魁
357,6241,享承
358,6242,聯豪科
359,6243,迅杰
360,6244,茂迪
361,6245,立端
362,8002,資傳
363,8008,建興電子
364,8009,昱昕
365,8010,益和
366,8011,台通
367,8012,琭旦
368,8014,宏廣
369,5201,凱衛資訊
370,5202,力新
371,5203,訊連
372,5204,得捷
373,5205,漢康科技
374,5206,經緯
375,5207,飛雅
376,5208,蔚華
377,5209,新鼎系統
378,5210,儒碩
379,5211,蒙恬
380,5212,凌網
381,5213,捷鴻
382,4903,聯光通信
383,4904,遠傳
384,4905,台聯電訊
385,4906,正文
386,4907,正華
387,4908,前鼎
388,4909,新復興
389,4910,陽慶
390,5601,台聯
391,5603,陸海
392,5604,中連
393,5605,遠航
394,5607,遠翔倉儲
395,5608,四維航業
396,5609,中菲行
397,5801,建弘投信
398,5810,泛亞銀
399,5817,日盛銀行
400,5818,僑銀
401,5819,玉山票券
402,5820,日盛金
403,5006,高鋁
404,5007,三星
405,5009,榮剛
406,5011,久陽
407,5013,強新
408,5014,建錩實業
409,5015,華祺工業
410,5016,松和
411,5017,新泰伸
412,4609,唐鋒
413,4502,源恆
414,4503,金雨
415,4506,崇友
416,4510,高鋒
417,4513,福裕
418,4522,大寶
419,4523,永彰
420,4526,東台
421,4527,方土霖
422,4528,江興鍛壓
423,4529,力武
424,4530,宏易
425,4532,瑞智
426,4533,協易機
427,4534,三林
428,4535,至興
429,4205,恆義
430,4207,環泰
